SMILES,Hit_Miss,MolLogP,TPSA,MolWt,NumRotatableBonds,HallKierAlpha,FractionCSP3,RingCount,NumHDonors,NumHAcceptors
C/C=C1\NC(=O)[C@H](CC(N)=O)N(C)C(=O)C([C@@H](C)O)NC(=O)C(CCCc2ccc(OC)cc2)NC(=O)[C@H](C(C)C)NC(=O)/C(=C\C)NC(=O)[C@H](O)[C@@H](C[C@@H](O)CCCCCCC)NC(=O)[C@H](C)NC(=O)CN(C)C(=O)[C@H](CCC(N)=O)NC1=O,0,-2.0643000000000074,429.51999999999987,1199.4149999999997,20.0,-7.980000000000001,0.6140350877192983,2.0,13.0,16.0
C/N=C1\C(=O)c2ccccc2C(O)=C1N(C(C)=O)c1ccc(Br)cc1,1,3.9959000000000024,69.97,399.24399999999997,2.0,-2.7299999999999995,0.10526315789473684,3.0,1.0,4.0
C/N=c1\scc(-c2ccc(F)cc2)n1/N=C/c1ccc(O)c(O)c1,0,3.1796000000000024,70.11,343.38300000000004,3.0,-2.9299999999999993,0.058823529411764705,3.0,2.0,6.0
C/N=c1\scc(-c2ccccc2F)n1/N=C/c1ccc(O)c(O)c1O,0,2.8852000000000015,90.34,359.38200000000006,3.0,-3.13,0.058823529411764705,3.0,3.0,7.0
C/N=c1\scc(-c2cccs2)n1/N=C/c1ccc(O)c(O)c1O,0,2.807600000000001,90.34,347.4210000000001,3.0,-2.58,0.06666666666666667,3.0,3.0,8.0
C=C(C)C(=O)NC1=NN(c2ccccc2)C(=O)C1,1,1.4290999999999998,61.77,243.266,2.0,-2.4299999999999997,0.15384615384615385,2.0,1.0,3.0
C=C(C)C(=O)Nc1cccc(C2=NOC3(C2)C[C@H](C(N)=O)N(C(=O)C(c2ccccc2)c2ccccc2)C3)c1,0,3.982700000000002,114.09,522.6050000000002,7.0,-4.719999999999999,0.22580645161290322,5.0,2.0,5.0
C=C(C)C(=O)Nc1cccc(C2=NOC3(C2)C[C@H](C(N)=O)N(C(=O)COc2ccc(Cl)cc2)C3)c1,0,2.883000000000001,123.32000000000001,496.95100000000025,7.0,-3.8499999999999996,0.28,4.0,2.0,6.0
C=C(C)CN=C(S)N=Nc1c(O)[nH]c2ccc([N+](=O)[O-])cc12,0,3.7273000000000023,116.24000000000001,319.34600000000006,4.0,-2.68,0.15384615384615385,2.0,3.0,5.0
C=C(C)CSc1nc(N)c2c3c(sc2n1)CCC3,0,3.4304000000000014,51.8,277.418,3.0,-1.07,0.38461538461538464,3.0,1.0,5.0
C=C(C)n1c(=O)n(Cc2ccccc2C)c2ccccc21,1,3.6503200000000033,26.93,278.355,3.0,-2.549999999999999,0.16666666666666666,3.0,0.0,3.0
C=C(NCC)NC(=O)Nc1c(CC)cccc1CC,1,3.013600000000001,53.16,261.36899999999997,6.0,-1.9699999999999993,0.4,1.0,3.0,2.0
C=C/C(C)=C/[C@@]1(C)SC(=O)C(C)=C1O,1,2.982800000000001,37.3,210.29799999999997,2.0,-0.96,0.36363636363636365,1.0,1.0,3.0
C=C/C(C)=C\C1(C)SC(O)=C(C)C1=O,0,2.982800000000001,37.3,210.29799999999997,2.0,-0.96,0.36363636363636365,1.0,1.0,3.0
C=C/C=C/C1(C)SC(=O)C(C)=C1O,0,2.5927,37.3,196.271,2.0,-0.96,0.3,1.0,1.0,3.0
C=C1C(=O)OC2(C(=O)Nc3ccccc32)C1c1ccccc1,0,2.7308000000000012,55.400000000000006,291.30600000000004,1.0,-2.879999999999999,0.1111111111111111,4.0,1.0,3.0
C=C1C(=O)OC[C@H]1C/C=C(\C)CC(=O)C=C(C)C,0,2.977400000000001,43.370000000000005,248.32199999999995,5.0,-1.6400000000000001,0.4666666666666667,1.0,0.0,3.0
C=C1C(=O)O[C@@H]2C[C@@H](C)[C@@H]3C=CC(=O)[C@@]3(C)[C@@H](OC(=O)CC(=O)O[C@H]3[C@@H]4C(=C)C(=O)O[C@@H]4C[C@@H](C)[C@@H]4C=CC(=O)[C@]43C)[C@H]12,0,2.998100000000001,139.34000000000003,592.6410000000003,4.0,-3.8200000000000003,0.5757575757575758,6.0,0.0,10.0
